grupo	genes-filter	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	media	desv	cv	mediana	logrep1	logrep2	logrep3	logrep4	logrep5	logrep6	logrep7	logrep8	medialog	desvlog	cvlog	respdicotoma	media3	media4	media5	media6	dicotoma1	dicotoma2	clasificador
1.00	1.1.1.2	238	426	238	308	405	261	611	313	350.000	127.0905	36.3116	310.5	2.38	2.63	2.38	2.49	2.61	2.42	2.79	2.50	2.522099	0.1433	5.6823	2.00	7.0473	1.3612	18.1419	0.95421	0.00	0.00	2.00
1.00	1.1.1.4	1.991	3.552	1.447	2.267	2.672	1.803	3.569	1.274	2.321.875	881.2560	37.9545	2.129.0	3.30	3.55	3.16	3.36	3.43	3.26	3.55	3.11	3.338252	0.1662	4.9784	2.00	13.2418	1.4945	36.7253	1.25521	0.00	0.00	2.00
1.00	1.1.1.8	376	660	207	532	406	435	882	330	478.500	211.1316	44.1236	420.5	2.58	2.82	2.32	2.73	2.61	2.64	2.95	2.52	2.643451	0.1919	7.2595	2.00	7.8216	1.3827	20.4647	1.00428	0.00	0.00	2.00
1.00	1.1.1.10	402	627	351	508	465	730	920	426	553.625	193.0928	34.8779	486.5	2.60	2.80	2.55	2.71	2.67	2.86	2.96	2.63	2.722080	0.1419	5.2138	2.00	8.2112	1.3963	21.6335	1.03558	0.00	0.00	2.00
1.00	1.1.1.11	295	482	188	421	215	369	517	203	336.250	130.0030	38.6626	332.0	2.47	2.68	2.27	2.62	2.33	2.57	2.71	2.31	2.496470	0.1757	7.0360	2.00	6.9538	1.3566	17.8613	0.94335	0.00	0.00	2.00
1.00	1.1.1.12	1.797	2.467	1.116	1.450	3.406	2.994	2.841	1.090	2.145.125	900.3981	41.9742	2.132.0	3.25	3.39	3.05	3.16	3.53	3.48	3.45	3.04	3.294393	0.1967	5.9693	2.00	12.8969	1.4880	35.6906	1.24088	0.00	0.00	2.00
1.00	1.1.1.14	628	912	439	914	564	911	1.227	493	761.000	271.9958	35.7419	769.5	2.80	2.96	2.64	2.96	2.75	2.96	3.09	2.69	2.856732	0.1573	5.5080	2.00	9.1298	1.4189	24.3894	1.08728	0.00	0.00	2.00
1.00	1.1.1.15	821	1.128	497	1.020	745	827	984	411	804.125	249.8654	31.0729	824.0	2.91	3.05	2.70	3.01	2.87	2.92	2.99	2.61	2.883513	0.1540	5.3423	2.00	9.2991	1.4233	24.8973	1.09729	0.00	0.00	2.00
1.00	1.1.1.16	418	504	333	638	224	223	292	141	346.625	164.9813	47.5965	312.5	2.62	2.70	2.52	2.80	2.35	2.35	2.47	2.15	2.495503	0.2133	8.5490	2.00	7.0246	1.3564	18.0737	0.94294	0.00	0.00	2.00
1.00	1.1.1.17	696	1.020	356	636	790	895	971	466	728.750	236.8114	32.4956	743.0	2.84	3.01	2.55	2.80	2.90	2.95	2.99	2.67	2.838896	0.1603	5.6481	2.00	8.9990	1.4160	23.9969	1.08056	0.00	0.00	2.00
1.00	1.1.1.19	1.653	1.980	1.036	1.682	2.370	2.694	2.227	1.011	1.831.625	606.2312	33.0980	1.831.0	3.22	3.30	3.02	3.23	3.37	3.43	3.35	3.00	3.239218	0.1584	4.8909	2.00	12.2352	1.4796	33.7057	1.22261	0.00	0.00	2.00
1.00	1.1.2.2	417	781	297	443	540	393	779	312	495.250	191.3716	38.6414	430.0	2.62	2.89	2.47	2.65	2.73	2.59	2.89	2.49	2.668053	0.1608	6.0286	2.00	7.9118	1.3870	20.7354	1.01416	0.00	0.00	2.00
1.00	1.1.2.4	1.339	2.161	875	1.924	1.717	1.320	4.405	1.560	1.912.625	1.081.8821	56.5653	1.638.5	3.13	3.33	2.94	3.28	3.23	3.12	3.64	3.19	3.235008	0.2042	6.3134	2.00	12.4130	1.4790	34.2390	1.22120	0.00	0.00	2.00
1.00	1.1.2.5	357	780	279	582	526	311	932	326	511.625	241.0186	47.1085	441.5	2.55	2.89	2.45	2.76	2.72	2.49	2.97	2.51	2.668959	0.1966	7.3680	2.00	7.9980	1.3871	20.9941	1.01452	0.00	0.00	2.00
1.00	1.1.2.6	288	498	250	360	363	246	549	205	344.875	123.7791	35.8910	324.0	2.46	2.70	2.40	2.56	2.56	2.39	2.74	2.31	2.514129	0.1516	6.0295	2.00	7.0127	1.3598	18.0382	0.95085	0.00	0.00	2.00
1.00	1.1.2.7	510	898	300	540	617	535	1.911	446	719.625	510.3184	70.9145	537.5	2.71	2.95	2.48	2.73	2.79	2.73	3.28	2.65	2.789950	0.2389	8.5637	2.00	8.9613	1.4078	23.8838	1.06193	0.00	0.00	2.00
1.00	1.1.2.8	478	796	370	539	527	989	1.013	424	642.000	254.6718	39.6685	533.0	2.68	2.90	2.57	2.73	2.72	3.00	3.01	2.63	2.778764	0.1673	6.0190	2.00	8.6267	1.4059	22.8801	1.05763	0.00	0.00	2.00
1.00	1.1.2.9	461	779	279	674	396	488	604	261	492.750	183.9858	37.3386	474.5	2.66	2.89	2.45	2.83	2.60	2.69	2.78	2.42	2.664162	0.1717	6.4463	2.00	7.8985	1.3863	20.6954	1.01260	0.00	0.00	2.00
1.00	1.1.2.10	191	312	156	215	171	214	302	138	212.375	64.1938	30.2266	202.5	2.28	2.49	2.19	2.33	2.23	2.33	2.48	2.14	2.310506	0.1271	5.5015	2.00	5.9662	1.3220	14.8987	0.86129	0.00	0.00	2.00
1.00	1.1.2.11	244	351	207	294	319	328	398	181	290.250	74.2308	25.5748	306.5	2.39	2.55	2.32	2.47	2.50	2.52	2.60	2.26	2.449280	0.1183	4.8305	2.00	6.6210	1.3480	16.8630	0.92308	0.00	0.00	2.00
1.00	1.1.2.12	316	500	255	417	311	258	466	204	340.875	107.7437	31.6080	313.5	2.50	2.70	2.41	2.62	2.49	2.41	2.67	2.31	2.513466	0.1382	5.4998	2.00	6.9855	1.3596	17.9565	0.95057	0.00	0.00	2.00
1.00	1.1.2.14	534	813	488	840	309	459	488	212	517.875	218.2930	42.1517	488.0	2.73	2.91	2.69	2.92	2.49	2.66	2.69	2.33	2.677107	0.1987	7.4236	2.00	8.0305	1.3885	21.0914	1.01778	0.00	0.00	2.00
1.00	1.1.2.15	194	255	130	180	249	200	278	130	202.000	55.6956	27.5721	197.0	2.29	2.41	2.11	2.26	2.40	2.30	2.44	2.11	2.289847	0.1264	5.5219	2.00	5.8675	1.3181	14.6024	0.85179	0.00	0.00	2.00
1.00	1.1.2.16	546	720	379	551	663	650	806	327	580.250	164.2609	28.3086	600.5	2.74	2.86	2.58	2.74	2.82	2.81	2.91	2.51	2.746203	0.1363	4.9617	2.00	8.3407	1.4004	22.0222	1.04501	0.00	0.00	2.00
1.00	1.1.2.17	449	614	327	419	548	546	633	264	475.000	133.5729	28.1206	497.5	2.65	2.79	2.51	2.62	2.74	2.74	2.80	2.42	2.659520	0.1353	5.0858	2.00	7.8025	1.3855	20.4074	1.01074	0.00	0.00	2.00
1.00	1.1.2.20	811	1.260	610	859	1.031	1.424	1.411	547	994.125	344.3198	34.6355	945.0	2.91	3.10	2.79	2.93	3.01	3.15	3.15	2.74	2.972875	0.1593	5.3588	2.00	9.9804	1.4379	26.9411	1.13007	0.00	0.00	2.00
1.00	1.1.2.21	632	696	353	489	578	820	630	319	564.625	170.0016	30.1088	604.0	2.80	2.84	2.55	2.69	2.76	2.91	2.80	2.50	2.732410	0.1431	5.2360	2.00	8.2652	1.3980	21.7956	1.03963	0.00	0.00	2.00
1.00	1.1.3.4	743	1.270	456	681	674	997	1.533	675	878.625	361.5028	41.1442	712.0	2.87	3.10	2.66	2.83	2.83	3.00	3.19	2.83	2.913638	0.1711	5.8708	2.00	9.5778	1.4283	25.7335	1.10845	0.00	0.00	2.00
1.00	1.1.3.6	2.877	4.995	1.807	2.685	3.524	1.730	5.435	1.903	3.119.500	1.435.4440	46.0152	2.781.0	3.46	3.70	3.26	3.43	3.55	3.24	3.74	3.28	3.455387	0.1942	5.6213	2.00	14.6115	1.5118	40.8345	1.29262	0.00	0.00	2.00
1.00	1.1.3.7	217	413	193	252	282	268	381	179	273.125	84.6698	31.0004	260.0	2.34	2.62	2.29	2.40	2.45	2.43	2.58	2.25	2.418941	0.1302	5.3811	2.00	6.4881	1.3424	16.4644	0.90986	0.00	0.00	2.00
1.00	1.1.3.8	373	925	348	721	513	576	779	415	581.250	209.3860	36.0234	544.5	2.57	2.97	2.54	2.86	2.71	2.76	2.89	2.62	2.739686	0.1567	5.7197	2.00	8.3455	1.3993	22.0366	1.04247	0.00	0.00	2.00
1.00	1.1.3.9	2.478	4.749	1.521	2.460	2.675	3.198	4.321	1.888	2.911.250	1.125.9236	38.6749	2.576.5	3.39	3.68	3.18	3.39	3.43	3.50	3.64	3.28	3.435945	0.1675	4.8747	2.00	14.2788	1.5090	39.8365	1.28650	0.00	0.00	2.00
1.00	1.1.3.10	131	182	128	130	135	170	181	104	145.125	28.7374	19.8018	133.0	2.12	2.26	2.11	2.11	2.13	2.23	2.26	2.02	2.154249	0.0864	4.0127	1.00	5.2551	1.2915	12.7653	0.78741	1.00	1.00	1.00
