DO-MCD	souche	rep
0.001	sauv	1
0.009	sauv	1
0.084	sauv	1
0.098	sauv	1
0.105	sauv	1
0.150	sauv	1
0.182	sauv	1
0.261	sauv	1
0.349	sauv	1
0.009	sauv	2
0.050	sauv	2
0.073	sauv	2
0.099	sauv	2
0.120	sauv	2
0.166	sauv	2
0.320	sauv	2
0.350	sauv	2
0.400	sauv	2
0.008	sauv	3
0.055	sauv	3
0.076	sauv	3
0.101	sauv	3
0.130	sauv	3
0.174	sauv	3
0.320	sauv	3
0.350	sauv	3
0.410	sauv	3
0.002	mut	1
0.010	mut	1
0.093	mut	1
0.111	mut	1
0.118	mut	1
0.168	mut	1
0.200	mut	1
0.347	mut	1
0.443	mut	1
0.011	mut	2
0.083	mut	2
0.122	mut	2
0.156	mut	2
0.180	mut	2
0.222	mut	2
0.380	mut	2
0.440	mut	2
0.550	mut	2
0.008	mut	3
0.067	mut	3
0.090	mut	3
0.150	mut	3
0.180	mut	3
0.210	mut	3
0.350	mut	3
0.410	mut	3
0.560	mut	3
