"x" "y"
"1" 170 60
"2" 189 72
"3" 175 64
"4" 164 72
"5" 175 61
"6" 184 78
"7" 178 68
"8" 179 79
"9" 182 74
"10" 174 62
"11" 172 74
"12" 185 60
"13" 178 73
"14" 180 70
"15" 189 72
"16" 200 77
"17" 178 70
"18" 178 76
"19" 175 65
"20" 180 75
"21" 169 55
"22" 173 55
"23" 182 72
"24" 183 75
"25" 184 73
"26" 181 71
"27" 180 66
"28" 178 71
"29" 178 79
"30" 168 62
"31" 171 73
"32" 180 72
"33" 174 60
"34" 175 67
"35" 182 85
"36" 181 73
"37" 188 82
"38" 182 86
"39" 189 85
"40" 178 65
"41" 186 74
