"logrep1" "logrep2" "logrep3" "logrep4" "logrep5" "logrep6" "logrep7" "logrep8"
"198" 2.07 2.36 2.01 2.24 2.26 2.36 2.42 2.06
"77" 2.64 2.9 2.61 2.69 2.81 2.76 2.93 2.47
"491" 2.67 2.52 2.44 2.52 2.59 2.65 2.61 2.29
"277" 2.42 2.4 2.22 2.27 2.29 2.38 2.39 2.1
"308" 2.75 2.73 2.46 2.69 2.53 2.73 2.7 2.36
"346" 2.55 2.6 2.48 2.44 2.57 2.75 2.64 1.95
"660" 2.26 2.31 2.07 2.22 2.26 2.36 2.22 1.93
"670" 2.71 2.85 2.63 2.69 2.99 2.91 2.88 2.6
"510" 2.61 2.54 2.42 2.44 2.5 2.77 2.72 2.41
"585" 2.4 2.42 2.31 2.26 2.45 2.47 2.36 2.08
"787" 2.27 2.29 2.09 2.14 2.11 2.23 2.22 1.93
"801" 2.72 2.72 2.46 2.68 2.64 2.71 2.76 2.39
"818" 3.13 2.91 2.56 2.55 2.9 3.02 3.22 2.69
"866" 2.64 2.7 2.38 2.55 2.41 2.64 2.68 2.27
"980" 2.23 2.47 2.17 2.34 2.29 2.35 2.34 2.01
"1011" 2.05 2.33 1.96 2.35 2.16 2.13 2.2 1.87
"1027" 3.32 3.52 3.39 3.51 3.42 3.35 3.21 2.6
"1348" 3.17 3.25 2.98 3.23 3.28 3.48 3.37 2.88
"1286" 2.74 2.67 2.82 2.93 3.02 3.02 3.07 2.69
"1641" 2.71 2.27 2.42 2.7 2.23 2.85 2.69 2.25
"1505" 3.14 3.15 2.83 3.04 2.97 3.1 2.96 2.63
"1709" 2.84 2.93 2.36 2.49 2.77 2.84 2.9 2.54
"1875" 2.68 2.66 2.28 2.5 2.47 2.59 2.57 2.22
"1909" 2.3 2.32 1.95 2.19 2.07 1.93 2.15 1.84
"1913" 2.44 2.45 2.05 2.33 2.37 2.35 2.33 1.96
"1930" 3.49 3.55 3.06 3.21 3.4 3.43 3.5 3.06
"1727" 2.43 2.41 2.15 2.1 2.45 2.33 2.32 2
"1771" 3.39 3.34 3.12 3.19 3.33 3.37 3.45 3.04
"2182" 2.34 2.64 2.19 2.42 2.43 2.47 2.39 2.11
"2084" 2.6 2.91 2.36 2.74 2.61 2.72 2.77 2.39
"2268" 2.74 2.73 2.56 2.78 2.75 2.87 2.97 2.52
"2288" 3.89 4 3.5 3.93 3.89 3.95 3.95 3.4
"2691" 2.89 2.94 2.61 2.89 2.68 2.86 2.75 2.37
"2726" 2.26 2.22 2.03 2.03 2.29 2.24 2.21 1.89
"2565" 3.58 3.6 3.12 3.42 3.44 3.57 3.4 3.05
"2595" 3 3.11 2.73 2.94 2.89 2.99 2.97 2.56
"2791" 2.46 2.45 2.28 2.39 2.35 2.37 2.27 1.95
"3108" 2.68 2.93 2.37 2.8 2.77 2.76 2.86 2.51
"3044" 2.72 3.02 2.37 3.01 2.55 2.71 2.82 2.44
"3045" 2.3 3.09 2.54 2.91 2.8 2.78 2.97 2.56
"3048" 3.11 3.37 2.83 3.16 3.2 3.21 3.31 2.94
"3064" 3.54 3.78 3.1 3.52 3.54 3.59 3.63 3.21
"3065" 2.71 3.05 2.44 2.78 2.71 2.76 2.8 2.45
"3295" 2.82 2.98 2.5 2.76 2.68 2.79 2.83 2.4
"3514" 2.21 2.28 1.99 2.12 2.17 2.17 2.09 1.79
"3521" 3.18 3.3 2.92 3.17 3.34 3.35 3.16 2.75
"3591" 2.28 2.36 2.1 2.1 2.46 2.43 2.57 2.16
"3616" 3.74 3.77 3.37 3.59 3.62 3.72 3.81 3.33
"4028" 3.46 3.67 3.1 3.51 3.49 3.51 3.59 3.16
"4097" 2.39 2.64 2.2 2.02 2.13 2.51 2.59 2.23
"4361" 2.9 3.04 2.54 2.87 2.76 3.02 2.96 2.59
"4428" 3.46 3.61 3.15 3.42 3.58 3.62 3.52 3.11
"4238" 3.22 3.24 2.65 3.15 3.05 3.12 3.1 2.66
"4296" 3.5 3.64 3.28 3.47 3.41 3.63 3.51 3.07
"4352" 3.1 3.12 3 2.6 3.05 3.21 3.16 2.82
"4469" 2.37 2.46 2.27 2.34 2.36 2.37 2.34 1.97
"4505" 2.69 2.8 2.45 2.42 2.7 2.79 2.68 2.33
"4539" 4.08 4.12 3.86 4 4.06 4.18 4.21 3.63
"4582" 3.5 3.58 3.3 3.55 3.49 3.61 3.62 3.13
"4824" 3.34 3.38 3.05 3.27 3.15 3.31 3.33 2.87
"4708" 2.64 2.74 2.34 2.47 2.47 2.56 2.54 2.25
"4942" 2.22 2.49 2.12 2.39 2.34 2.47 2.39 2.07
"5155" 3.08 3.17 2.8 2.96 3.08 2.68 2.97 2.7
"5240" 3.12 3.19 2.85 3.11 3.06 3.18 3.09 2.69
"5253" 3.15 3.35 2.74 2.99 3.06 3.23 3.16 2.73
"5266" 3.59 3.55 3.16 3.39 3.42 3.43 3.51 3.01
"5282" 2.69 2.81 2.26 2.64 2.54 2.61 2.47 2.17
"5467" 2.29 2.29 2.08 2.08 2.29 2.38 2.18 1.95
"5701" 3.38 3.64 3.12 3.32 3.5 3.54 3.46 2.62
"5740" 3.06 3.09 2.57 2.8 2.97 2.93 2.98 2.64
"5802" 3.09 3.19 2.7 2.89 2.77 3 2.86 2.57
"6041" 2.57 2.57 2.28 2.54 2.52 2.57 2.45 2.13
"6067" 2.76 2.92 2.51 3.32 2.87 2.82 2.87 2.39
"6334" 2.45 2.57 1.93 2.35 2.41 2.48 2.14 2.06
"6350" 2.97 2.83 2.59 2.75 3.09 3.16 3.2 2.61
"6347" 2.36 2.53 2.08 2.37 2.32 2.37 2.21 1.88
"6672" 3.15 3.22 2.85 2.94 3.14 3.19 3.04 2.67
"6472" 2.42 2.49 2.18 2.35 2.4 2.47 2.38 2.04
"6551" 3.1 3.14 2.58 3 2.9 3 2.93 2.49
"6832" 3.96 4.02 3.79 4.06 4.08 4.15 4.1 3.64
"6761" 2.34 2.39 2.01 2.16 2.27 2.36 2.26 1.89
"7110" 2.76 3 2.41 2.61 2.79 2.84 2.68 2.33
"7142" 2.95 3.03 2.6 2.98 2.62 2.91 2.83 2.33
"7180" 2.4 2.58 2.16 2.48 2.29 2.41 2.26 1.9
"7194" 3.04 3.25 2.76 3.09 2.98 3.13 2.86 2.54
"7205" 2.3 2.42 2.15 2.31 2.47 2.42 2.2 2.12
"7785" 2.32 2.37 2.35 2.14 2.51 2.47 2.17 2.32
"198.1" 2.07 2.36 2.01 2.24 2.26 2.36 2.42 2.06
"77.1" 2.64 2.9 2.61 2.69 2.81 2.76 2.93 2.47
"491.1" 2.67 2.52 2.44 2.52 2.59 2.65 2.61 2.29
"277.1" 2.42 2.4 2.22 2.27 2.29 2.38 2.39 2.1
"308.1" 2.75 2.73 2.46 2.69 2.53 2.73 2.7 2.36
"346.1" 2.55 2.6 2.48 2.44 2.57 2.75 2.64 1.95
"660.1" 2.26 2.31 2.07 2.22 2.26 2.36 2.22 1.93
"670.1" 2.71 2.85 2.63 2.69 2.99 2.91 2.88 2.6
"510.1" 2.61 2.54 2.42 2.44 2.5 2.77 2.72 2.41
"585.1" 2.4 2.42 2.31 2.26 2.45 2.47 2.36 2.08
"787.1" 2.27 2.29 2.09 2.14 2.11 2.23 2.22 1.93
"801.1" 2.72 2.72 2.46 2.68 2.64 2.71 2.76 2.39
"818.1" 3.13 2.91 2.56 2.55 2.9 3.02 3.22 2.69
"866.1" 2.64 2.7 2.38 2.55 2.41 2.64 2.68 2.27
"980.1" 2.23 2.47 2.17 2.34 2.29 2.35 2.34 2.01
"1011.1" 2.05 2.33 1.96 2.35 2.16 2.13 2.2 1.87
"1027.1" 3.32 3.52 3.39 3.51 3.42 3.35 3.21 2.6
"1348.1" 3.17 3.25 2.98 3.23 3.28 3.48 3.37 2.88
"1286.1" 2.74 2.67 2.82 2.93 3.02 3.02 3.07 2.69
"1641.1" 2.71 2.27 2.42 2.7 2.23 2.85 2.69 2.25
"1692" 2.41 2.44 2.23 2.41 2.35 2.44 2.37 2.03
"1505.1" 3.14 3.15 2.83 3.04 2.97 3.1 2.96 2.63
"1709.1" 2.84 2.93 2.36 2.49 2.77 2.84 2.9 2.54
"1875.1" 2.68 2.66 2.28 2.5 2.47 2.59 2.57 2.22
"1909.1" 2.3 2.32 1.95 2.19 2.07 1.93 2.15 1.84
"1913.1" 2.44 2.45 2.05 2.33 2.37 2.35 2.33 1.96
"1930.1" 3.49 3.55 3.06 3.21 3.4 3.43 3.5 3.06
"1727.1" 2.43 2.41 2.15 2.1 2.45 2.33 2.32 2
"1771.1" 3.39 3.34 3.12 3.19 3.33 3.37 3.45 3.04
"2182.1" 2.34 2.64 2.19 2.42 2.43 2.47 2.39 2.11
"2084.1" 2.6 2.91 2.36 2.74 2.61 2.72 2.77 2.39
"2268.1" 2.74 2.73 2.56 2.78 2.75 2.87 2.97 2.52
"2288.1" 3.89 4 3.5 3.93 3.89 3.95 3.95 3.4
"2691.1" 2.89 2.94 2.61 2.89 2.68 2.86 2.75 2.37
"2726.1" 2.26 2.22 2.03 2.03 2.29 2.24 2.21 1.89
"2508" 2.31 2.35 2.03 2.14 2.08 2.23 2.12 1.83
"2564" 3.12 3.21 2.91 3.14 3.04 3.19 2.99 2.62
"2565.1" 3.58 3.6 3.12 3.42 3.44 3.57 3.4 3.05
"2595.1" 3 3.11 2.73 2.94 2.89 2.99 2.97 2.56
"2791.1" 2.46 2.45 2.28 2.39 2.35 2.37 2.27 1.95
"3108.1" 2.68 2.93 2.37 2.8 2.77 2.76 2.86 2.51
"3044.1" 2.72 3.02 2.37 3.01 2.55 2.71 2.82 2.44
"3045.1" 2.3 3.09 2.54 2.91 2.8 2.78 2.97 2.56
"3048.1" 3.11 3.37 2.83 3.16 3.2 3.21 3.31 2.94
"3064.1" 3.54 3.78 3.1 3.52 3.54 3.59 3.63 3.21
"3065.1" 2.71 3.05 2.44 2.78 2.71 2.76 2.8 2.45
"3295.1" 2.82 2.98 2.5 2.76 2.68 2.79 2.83 2.4
"3514.1" 2.21 2.28 1.99 2.12 2.17 2.17 2.09 1.79
"3521.1" 3.18 3.3 2.92 3.17 3.34 3.35 3.16 2.75
"3591.1" 2.28 2.36 2.1 2.1 2.46 2.43 2.57 2.16
"3616.1" 3.74 3.77 3.37 3.59 3.62 3.72 3.81 3.33
"4028.1" 3.46 3.67 3.1 3.51 3.49 3.51 3.59 3.16
"4097.1" 2.39 2.64 2.2 2.02 2.13 2.51 2.59 2.23
"4361.1" 2.9 3.04 2.54 2.87 2.76 3.02 2.96 2.59
"4428.1" 3.46 3.61 3.15 3.42 3.58 3.62 3.52 3.11
"4238.1" 3.22 3.24 2.65 3.15 3.05 3.12 3.1 2.66
"4296.1" 3.5 3.64 3.28 3.47 3.41 3.63 3.51 3.07
"4352.1" 3.1 3.12 3 2.6 3.05 3.21 3.16 2.82
"4469.1" 2.37 2.46 2.27 2.34 2.36 2.37 2.34 1.97
"4505.1" 2.69 2.8 2.45 2.42 2.7 2.79 2.68 2.33
"4539.1" 4.08 4.12 3.86 4 4.06 4.18 4.21 3.63
"4582.1" 3.5 3.58 3.3 3.55 3.49 3.61 3.62 3.13
"4824.1" 3.34 3.38 3.05 3.27 3.15 3.31 3.33 2.87
"4708.1" 2.64 2.74 2.34 2.47 2.47 2.56 2.54 2.25
"4942.1" 2.22 2.49 2.12 2.39 2.34 2.47 2.39 2.07
"5155.1" 3.08 3.17 2.8 2.96 3.08 2.68 2.97 2.7
"5240.1" 3.12 3.19 2.85 3.11 3.06 3.18 3.09 2.69
"5253.1" 3.15 3.35 2.74 2.99 3.06 3.23 3.16 2.73
"5266.1" 3.59 3.55 3.16 3.39 3.42 3.43 3.51 3.01
"5282.1" 2.69 2.81 2.26 2.64 2.54 2.61 2.47 2.17
"5467.1" 2.29 2.29 2.08 2.08 2.29 2.38 2.18 1.95
"5701.1" 3.38 3.64 3.12 3.32 3.5 3.54 3.46 2.62
"5740.1" 3.06 3.09 2.57 2.8 2.97 2.93 2.98 2.64
"5802.1" 3.09 3.19 2.7 2.89 2.77 3 2.86 2.57
"6041.1" 2.57 2.57 2.28 2.54 2.52 2.57 2.45 2.13
"6067.1" 2.76 2.92 2.51 3.32 2.87 2.82 2.87 2.39
"6334.1" 2.45 2.57 1.93 2.35 2.41 2.48 2.14 2.06
"6350.1" 2.97 2.83 2.59 2.75 3.09 3.16 3.2 2.61
"6347.1" 2.36 2.53 2.08 2.37 2.32 2.37 2.21 1.88
"6672.1" 3.15 3.22 2.85 2.94 3.14 3.19 3.04 2.67
"6472.1" 2.42 2.49 2.18 2.35 2.4 2.47 2.38 2.04
"6551.1" 3.1 3.14 2.58 3 2.9 3 2.93 2.49
"6832.1" 3.96 4.02 3.79 4.06 4.08 4.15 4.1 3.64
"6761.1" 2.34 2.39 2.01 2.16 2.27 2.36 2.26 1.89
"7110.1" 2.76 3 2.41 2.61 2.79 2.84 2.68 2.33
"7142.1" 2.95 3.03 2.6 2.98 2.62 2.91 2.83 2.33
"7180.1" 2.4 2.58 2.16 2.48 2.29 2.41 2.26 1.9
"7194.1" 3.04 3.25 2.76 3.09 2.98 3.13 2.86 2.54
"7205.1" 2.3 2.42 2.15 2.31 2.47 2.42 2.2 2.12
"7785.1" 2.32 2.37 2.35 2.14 2.51 2.47 2.17 2.32
